anchor_type,d_src,d_dst,d_aligned,residual_m,a,b
weld,5503.846752,5465.957064,5495.228604748808,8.618147251192568,1.0004704050591884,26.700326892595946
weld,5516.0113200000005,5478.197832000001,5507.475130868004,8.536189131996252,1.0004704050591884,26.700326892595946
weld,5528.185032,5490.423360000001,5519.706409818226,8.478622181773972,1.0004704050591884,26.700326892595946
weld,5540.340456000001,5499.969696,5529.257236462977,11.083219537023979,1.0004704050591884,26.700326892595946
weld,5542.842864,5512.179984000001,5541.473268244227,1.3695957557729344,1.0004704050591884,26.700326892595946
weld,5555.04096,5524.365888,5553.6649045551185,1.3760554448817857,1.0004704050591884,26.700326892595946
weld,5567.223816,5536.55484,5565.859590299805,1.3642257001947655,1.0004704050591884,26.700326892595946
weld,5579.397528,5548.752936,5578.063424345876,1.334103654124192,1.0004704050591884,26.700326892595946
weld,5591.546856000001,5551.252296000001,5580.563960057466,10.982895942534924,1.0004704050591884,26.700326892595946
weld,5603.751048,5563.4382000000005,5592.755596368358,10.995451631642027,1.0004704050591884,26.700326892595946
weld,5615.976576,5575.621056000001,5604.944183245456,11.032392754544162,1.0004704050591884,26.700326892595946
weld,5628.186864,5587.785624000001,5617.114473519786,11.07239048021438,1.0004704050591884,26.700326892595946
weld,5638.723800000001,5599.9349520000005,5629.269516625142,9.454283374858278,1.0004704050591884,26.700326892595946
weld,5650.934088000001,5612.1269520000005,5641.467251803624,9.46683619637679,1.0004704050591884,26.700326892595946
weld,5663.092560000001,5624.3189520000005,5653.664986982106,9.427573017895156,1.0004704050591884,26.700326892595946
weld,5675.26932,5636.483520000001,5665.835277256436,9.434042743564532,1.0004704050591884,26.700326892595946
weld,5687.46132,5647.011312,5676.368021583054,11.093298416946709,1.0004704050591884,26.700326892595946
weld,5699.644176,5659.212456,5688.57490506292,11.069270937079636,1.0004704050591884,26.700326892595946
weld,5711.842272,5671.373976,5700.742145903455,11.100126096544955,1.0004704050591884,26.700326892595946
weld,5724.03732,5683.532448,5712.906337310196,11.130982689804114,1.0004704050591884,26.700326892595946
weld,5734.738848,5695.724448,5725.104072488678,9.634775511322005,1.0004704050591884,26.700326892595946
weld,5738.390352,5707.9134,5737.298758233365,1.0915937666350146,1.0004704050591884,26.700326892595946
weld,5750.603688000001,5720.12064,5749.51174058082,1.0919474191814516,1.0004704050591884,26.700326892595946
weld,5762.71644,5732.321784000001,5761.718624060685,0.9978159393149326,1.0004704050591884,26.700326892595946
weld,5774.92368,5743.084272,5772.486174789489,2.437505210510608,1.0004704050591884,26.700326892595946
weld,5784.119496,5746.687008,5776.0906055347305,8.028890465269797,1.0004704050591884,26.700326892595946
weld,5796.302352000001,5758.988736,5788.398120329819,7.904231670181616,1.0004704050591884,26.700326892595946
weld,5808.51264,5771.2356,5800.650745316603,7.861894683396713,1.0004704050591884,26.700326892595946
weld,5820.716832,5783.4702720000005,5812.89117256821,7.825659431789973,1.0004704050591884,26.700326892595946
weld,5832.933215999999,5792.693520000001,5822.118759230732,10.814456769267053,1.0004704050591884,26.700326892595946
weld,5845.125215999999,5804.87028,5834.30124724024,10.823968759759737,1.0004704050591884,26.700326892595946
weld,5857.125192,5817.071424000001,5846.508130720106,10.617061279894187,1.0004704050591884,26.700326892595946
weld,5869.314144,5829.278664,5858.7211130675605,10.593030932439433,1.0004704050591884,26.700326892595946
weld,5881.503096,5841.492,5870.940194282604,10.562901717396016,1.0004704050591884,26.700326892595946
weld,5893.685952000001,5853.684,5883.137929461086,10.548022538914665,1.0004704050591884,26.700326892595946
weld,5905.871856000001,5865.696168,5895.155748045685,10.716107954315703,1.0004704050591884,26.700326892595946
weld,5918.069952000001,5877.897312,5907.362631525551,10.70732047445017,1.0004704050591884,26.700326892595946
weld,5930.261952000001,5890.067976,5919.539020667469,10.722931332531516,1.0004704050591884,26.700326892595946
weld,5942.453952000001,5902.241688000001,5931.718459243184,10.735492756816711,1.0004704050591884,26.700326892595946
