pair,dst_id,confidence,score,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned
2022_to_2015,4652,0.39926380222414903,0.39926380222414903,gene,120.0,19.0,58.419999999999995,40.64,996.4569621659441
2022_to_2015,23,0.39925388466150435,0.39925388466150435,gene,150.0,17.0,86.36,45.72,1259.652433251936
2022_to_2015,3567,0.3992383388745633,0.3992383388745633,gene,270.0,40.0,160.01999999999998,71.11999999999999,2358.174481077961
2022_to_2015,3604,0.39923025815061797,0.39923025815061797,gene,270.0,11.0,172.72,60.959999999999994,3877.076429193519
2022_to_2015,1323,0.3992281449907878,0.3992281449907878,gene,90.0,14.0,162.56,66.03999999999999,1130.7713096284547
2022_to_2015,371,0.39922098349317947,0.39922098349317947,gene,120.0,20.0,160.01999999999998,68.58,2150.574788809942
2022_to_2015,1260,0.3992115566433374,0.3992115566433374,gene,210.0,41.0,1351.28,312.42,2998.2840617412517
2022_to_2015,4655,0.3992106640190298,0.3992106640190298,gene,270.0,27.0,337.82,93.98,1140.7532790071361
2022_to_2015,3668,0.39920734021605375,0.39920734021605375,gene,60.0,24.0,33.019999999999996,45.72,1765.8267285810202
2022_to_2015,976,0.39918692475829576,0.39918692475829576,,300.0,,55.88,,2085.502456784361
2022_to_2015,2796,0.39918519692515597,0.39918519692515597,gene,30.0,15.0,185.42,81.28,2422.4886888469337
2022_to_2015,2193,0.3991600585344253,0.3991600585344253,gene,150.0,22.0,81.28,30.479999999999997,127.5202100495905
2022_to_2015,481,0.39915168624501884,0.39915168624501884,gene,150.0,43.0,58.419999999999995,58.419999999999995,199.28930634188208
2022_to_2015,1025,0.3991407668038789,0.3991407668038789,,300.0,,152.39999999999998,,510.1202515514546
2022_to_2015,3156,0.39913974898384613,0.39913974898384613,axsl,240.0,12.0,35.559999999999995,7.619999999999999,275.48079413105773
2022_to_2015,3124,0.3991346966044791,0.3991346966044791,gene,210.0,27.0,165.1,106.67999999999999,3479.9456727733204
2022_to_2015,1994,0.3991324477397122,0.3991324477397122,,90.0,,76.19999999999999,,316.16679590239204
2022_to_2015,2261,0.39910780021043424,0.39910780021043424,axgr,120.0,11.0,83.82,25.4,289.63244692108714
2022_to_2015,3244,0.3990951972138058,0.3990951972138058,gene,60.0,16.0,35.559999999999995,43.18,1660.5738109551771
2022_to_2015,5093,0.39908842600019123,0.39908842600019123,gene,150.0,17.0,116.83999999999999,88.89999999999999,877.0523917500718
2022_to_2015,3912,0.3990517336922663,0.3990517336922663,gene,210.0,26.0,129.54,66.03999999999999,44.25289586540015
2022_to_2015,3627,0.3990372558273538,0.3990372558273538,gene,60.0,40.0,76.19999999999999,78.74,147.86321093525765
2022_to_2015,296,0.3990114115137791,0.3990114115137791,corrosion,180.0,34.0,33.019999999999996,22.86,923.0452633176671
2022_to_2015,1138,0.39900944915719083,0.39900944915719083,axgr,180.0,16.0,60.959999999999994,20.32,2557.5611605660533
2022_to_2015,1884,0.3989982541894763,0.3989982541894763,gene,120.0,23.0,50.8,45.72,2601.153305321054
2022_to_2015,2951,0.3989866775631936,0.3989866775631936,gene,120.0,12.0,314.96,134.61999999999998,523.0083639138024
2022_to_2015,3198,0.39895425446446825,0.39895425446446825,gene,90.0,25.0,165.1,35.559999999999995,2211.4774374241756
2022_to_2015,4810,0.39895298846209154,0.39895298846209154,gene,0.0,14.0,683.2599999999999,53.339999999999996,1153.5150373267159
2022_to_2015,2987,0.39893336078845704,0.39893336078845704,gene,270.0,13.0,365.76,91.44,2373.5896742956716
2022_to_2015,320,0.3989177071841129,0.3989177071841129,gene,210.0,12.0,353.06,63.5,959.9406438059577
2022_to_2015,658,0.39889625630581516,0.39889625630581516,gene,270.0,12.0,429.25999999999993,53.339999999999996,1556.9634958853194
2022_to_2015,165,0.3988732871287221,0.3988732871287221,corrosion,150.0,12.0,15.239999999999998,22.86,93.91003467327079
2022_to_2015,962,0.3988520755825257,0.3988520755825257,,270.0,,114.3,,825.6262963434472
2022_to_2015,5113,0.3988519105231568,0.3988519105231568,gene,210.0,13.0,88.89999999999999,71.11999999999999,486.49204555381624
2022_to_2015,1973,0.39884757482710004,0.39884757482710004,,180.0,,147.32,,1653.4979845601624
2022_to_2015,82,0.3988256383419533,0.3988256383419533,gene,180.0,18.0,30.479999999999997,88.89999999999999,876.6733296217676
2022_to_2015,3088,0.39882438924813324,0.39882438924813324,gene,270.0,30.0,490.21999999999997,205.73999999999998,4369.9835500319505
2022_to_2015,2903,0.39881496182855214,0.39881496182855214,gene,330.0,12.0,233.67999999999998,86.36,2002.4878506857071
2022_to_2015,1356,0.3988082051921774,0.3988082051921774,gene,210.0,10.0,93.98,68.58,29.722180947066533
2022_to_2015,3380,0.3987955714281428,0.3987955714281428,gene,120.0,27.0,76.19999999999999,43.18,1393.9667807144465
2022_to_2015,4028,0.3987868435611308,0.3987868435611308,gene,90.0,10.0,307.34,53.339999999999996,2296.892770335424
2022_to_2015,1158,0.39878635269967544,0.39878635269967544,gene,210.0,12.0,91.44,106.67999999999999,352.6831142623783
2022_to_2015,3521,0.3987814253409413,0.3987814253409413,gene,210.0,22.0,63.5,53.339999999999996,193.85608250285298
2022_to_2015,3286,0.3987433346975753,0.3987433346975753,gene,60.0,29.0,284.47999999999996,106.67999999999999,3851.4265585115904
2022_to_2015,1065,0.3987289627885142,0.3987289627885142,,300.0,,187.96,,2039.0041690456928
2022_to_2015,4099,0.3987055231764183,0.3987055231764183,gene,150.0,26.0,63.5,58.419999999999995,3900.704635191157
2022_to_2015,5128,0.39870253997653166,0.39870253997653166,gene,30.0,18.0,238.76,210.82,1685.8446195088009
2022_to_2015,3007,0.3986577247771893,0.3986577247771893,gene,30.0,13.0,154.93999999999997,40.64,2014.617838791446
2022_to_2015,3344,0.3986566276271436,0.3986566276271436,gene,180.0,17.0,111.76,50.8,497.7375553601789
2022_to_2015,3671,0.39863694444562986,0.39863694444562986,gene,270.0,13.0,63.5,35.559999999999995,1947.7765501671115
2022_to_2015,4686,0.39862965549609486,0.39862965549609486,,270.0,,320.03999999999996,,1247.6487991889646
2022_to_2015,3356,0.3986252252717398,0.3986252252717398,gene,300.0,16.0,114.3,111.76,2967.959091476903
2022_to_2015,3008,0.39860160775974757,0.39860160775974757,gene,60.0,15.0,76.19999999999999,48.26,2434.4923229099054
2022_to_2015,24,0.39857151362549487,0.39857151362549487,gene,270.0,29.0,177.79999999999998,154.93999999999997,1319.7969576095606
2022_to_2015,4138,0.39857142345989816,0.39857142345989816,axgr,120.0,14.0,53.339999999999996,25.4,1593.3534602025381
2022_to_2015,1152,0.39854075147314383,0.39854075147314383,gene,120.0,25.0,58.419999999999995,71.11999999999999,32.24926180242892
2022_to_2015,3230,0.3985163725790996,0.3985163725790996,gene,60.0,45.0,459.74,304.79999999999995,789.9944562828377
2022_to_2015,2370,0.3984986536882098,0.3984986536882098,gene,210.0,45.0,1209.04,429.25999999999993,1164.7605471330787
2022_to_2015,4982,0.39848436713346236,0.39848436713346236,gene,150.0,22.0,60.959999999999994,48.26,689.6693463249517
2022_to_2015,2965,0.39848264430893143,0.39848264430893143,gene,210.0,15.0,218.43999999999997,66.03999999999999,1898.8775356158494
2022_to_2015,2402,0.39844363761377344,0.39844363761377344,gene,330.0,33.0,266.7,162.56,3637.5091641051654
2022_to_2015,4783,0.39843092102406685,0.39843092102406685,gene,120.0,21.0,58.419999999999995,53.339999999999996,2613.1569393840255
2022_to_2015,4466,0.39840338532045433,0.39840338532045433,gene,0.0,20.0,307.34,205.73999999999998,752.2145974951704
2022_to_2015,993,0.39835079400310863,0.39835079400310863,gene,120.0,12.0,256.53999999999996,165.1,2521.171196248835
2022_to_2015,5161,0.3983504577140455,0.3983504577140455,gene,270.0,15.0,83.82,48.26,238.58541364276704
2022_to_2015,3666,0.39835018533452604,0.39835018533452604,gene,270.0,21.0,335.28,137.16,1617.866144499553
2022_to_2015,4391,0.39831594433704387,0.39831594433704387,gene,180.0,33.0,193.04,436.87999999999994,910.6625671263914
2022_to_2015,1667,0.398315174104752,0.398315174104752,gene,90.0,12.0,160.01999999999998,83.82,628.7666977107181
2022_to_2015,855,0.3983145666518164,0.3983145666518164,gene,0.0,13.0,152.39999999999998,33.019999999999996,1990.1051544944312
2022_to_2015,3488,0.3982972135017704,0.3982972135017704,corrosion,210.0,13.0,43.18,27.94,473.2248710631639
2022_to_2015,3875,0.398268685934246,0.398268685934246,gene,120.0,11.0,246.37999999999997,71.11999999999999,1754.5812187746578
2022_to_2015,5139,0.3982684864171164,0.3982684864171164,gene,180.0,17.0,38.099999999999994,30.479999999999997,837.6299304064187
2022_to_2015,1796,0.3982501760608741,0.3982501760608741,,30.0,,574.04,,210.0293999771722
2022_to_2015,1751,0.3982141902730194,0.3982141902730194,gene,30.0,19.0,287.02,68.58,4320.705473352383
2022_to_2015,1264,0.3981954841295495,0.3981954841295495,gene,270.0,24.0,314.96,139.7,4123.340458548581
2022_to_2015,601,0.3981478028677351,0.3981478028677351,gene,0.0,14.0,149.86,38.099999999999994,2544.293986075401
2022_to_2015,257,0.3981355531660714,0.3981355531660714,corrosion,330.0,27.0,17.779999999999998,22.86,1467.3784795627232
2022_to_2015,450,0.3981248654711117,0.3981248654711117,gene,210.0,16.0,231.14,50.8,899.7961194483332
2022_to_2015,2734,0.3981134797116683,0.3981134797116683,,0.0,,337.82,,3126.4070611081247
2022_to_2015,4522,0.3980900920118171,0.3980900920118171,gene,150.0,21.0,78.74,134.61999999999998,427.2319994955686
2022_to_2015,660,0.39807995165320975,0.39807995165320975,,300.0,,304.79999999999995,,2673.680525869954
2022_to_2015,539,0.39807176613775663,0.39807176613775663,,0.0,,454.6599999999999,,3748.5743676983416
2022_to_2015,5041,0.3980586977147287,0.3980586977147287,,240.0,,269.23999999999995,,664.0194756430233
2022_to_2015,2968,0.3980318805771616,0.3980318805771616,gene,150.0,26.0,401.32,218.43999999999997,2735.4676527835645
2022_to_2015,4465,0.39800841258027836,0.39800841258027836,gene,60.0,14.0,104.13999999999999,88.89999999999999,720.3733787176045
2022_to_2015,2531,0.39800835595672746,0.39800835595672746,gene,120.0,25.0,241.29999999999998,134.61999999999998,702.0520425162272
2022_to_2015,3679,0.3980046989630719,0.3980046989630719,gene,90.0,19.0,177.79999999999998,63.5,2484.654877888848
2022_to_2015,177,0.3979864825167103,0.3979864825167103,gene,180.0,15.0,33.019999999999996,35.559999999999995,1453.7322429437663
2022_to_2015,4193,0.39795906551212895,0.39795906551212895,axgr,90.0,14.0,40.64,17.779999999999998,1745.1046655670484
2022_to_2015,3192,0.3979470245264438,0.3979470245264438,gene,300.0,51.0,591.8199999999999,78.74,1965.5924701974163
2022_to_2015,3069,0.39793516915036287,0.39793516915036287,gene,0.0,15.0,71.11999999999999,91.44,2371.441655568614
2022_to_2015,4710,0.39788793092801644,0.39788793092801644,,330.0,,203.2,,641.1493939019938
2022_to_2015,3874,0.39787754142004816,0.39787754142004816,gene,120.0,13.0,223.52,60.959999999999994,1368.316910032518
2022_to_2015,3850,0.3978372867954143,0.3978372867954143,axgr,0.0,17.0,55.88,25.4,2577.90416145172
2022_to_2015,4191,0.39780723616911506,0.39780723616911506,gene,150.0,15.0,73.66,101.6,1605.862510436582
2022_to_2015,2616,0.39780373967217386,0.39780373967217386,corrosion,240.0,20.0,43.18,27.94,1827.9929176229348
2022_to_2015,3200,0.3978002633556825,0.3978002633556825,gene,90.0,24.0,58.419999999999995,43.18,2345.4127227583813
2022_to_2015,3664,0.39776755624992866,0.39776755624992866,gene,120.0,12.0,406.4,73.66,1588.046590406277
2022_to_2015,3788,0.39775462906151116,0.39775462906151116,gene,180.0,24.0,116.83999999999999,48.26,38.44060989806667
2022_to_2015,3204,0.3977317546587147,0.3977317546587147,gene,300.0,23.0,276.86,63.5,2626.803176002982
2022_to_2015,669,0.39772582051285404,0.39772582051285404,gene,210.0,21.0,50.8,38.099999999999994,2092.9573453076796
2022_to_2015,1446,0.39771091006900927,0.39771091006900927,,330.0,,302.26,,3651.155400724122
2022_to_2015,2736,0.3977090254083293,0.3977090254083293,,0.0,,243.83999999999997,,3686.0291165281237
2022_to_2015,709,0.39767412950571407,0.39767412950571407,cigr,120.0,25.0,17.779999999999998,43.18,66.61756143535723
2022_to_2015,3534,0.3976489430956748,0.3976489430956748,,270.0,,513.0799999999999,,547.900110339122
2022_to_2015,3026,0.397646034319799,0.397646034319799,gene,120.0,20.0,124.46000000000001,78.74,159.48778286992462
2022_to_2015,3581,0.3976183367800368,0.3976183367800368,gene,270.0,23.0,93.98,50.8,3047.1830762925138
2022_to_2015,3233,0.39758010457989623,0.39758010457989623,gene,60.0,34.0,33.019999999999996,45.72,1033.7314047825391
2022_to_2015,2567,0.39757866623215693,0.39757866623215693,gene,210.0,13.0,213.35999999999999,71.11999999999999,327.7913678370589
2022_to_2015,3242,0.39757795656502704,0.39757795656502704,gene,60.0,16.0,139.7,68.58,1580.0862857118852
2022_to_2015,3461,0.39754494378633537,0.39754494378633537,,210.0,,472.44,,2497.037574080124
2022_to_2015,297,0.3974560327720665,0.3974560327720665,axgr,120.0,19.0,55.88,25.4,1044.092436289525
2022_to_2015,2142,0.3974497089606248,0.3974497089606248,,210.0,,109.21999999999998,,1418.8585271397658
2022_to_2015,218,0.3974371393573899,0.3974371393573899,,330.0,,124.46000000000001,,1188.7678152590213
2022_to_2015,1737,0.3974020871482999,0.3974020871482999,axgr,30.0,15.0,63.5,27.94,448.45947868061245
2022_to_2015,4137,0.39739949901725113,0.39739949901725113,gene,120.0,35.0,751.84,353.06,1296.926875868531
2022_to_2015,4125,0.3973952333550139,0.3973952333550139,gene,150.0,16.0,119.38,68.58,2176.22465949187
2022_to_2015,5148,0.3973612774289262,0.3973612774289262,gene,150.0,14.0,83.82,35.559999999999995,2458.4995910358475
2022_to_2015,4796,0.3973589762546387,0.3973589762546387,,0.0,,160.01999999999998,,1380.3205440954894
2022_to_2015,3876,0.3973416081300736,0.3973416081300736,gene,120.0,12.0,76.19999999999999,33.019999999999996,2984.1324089512227
2022_to_2015,3385,0.39733953252901366,0.39733953252901366,corrosion,150.0,13.0,25.4,17.779999999999998,3865.57821130162
2022_to_2015,1821,0.39733617689426687,0.39733617689426687,gene,0.0,14.0,193.04,45.72,2052.65040566465
2022_to_2015,3237,0.39733267826596363,0.39733267826596363,gene,300.0,22.0,55.88,33.019999999999996,1404.7068743497364
