year,idx,anchor_type,event_raw,distance_m_std,clock_deg_std
2015,240,tee,tap,2225.978784,0.0
2015,241,weld,girthweld,2236.2810240000003,
2015,242,weld,girthweld,2248.503504,
2015,243,weld,girthweld,2260.722936,
2015,244,weld,girthweld,2272.905792,
2015,245,weld,girthweld,2285.1160800000002,
2015,246,weld,girthweld,2297.347704,
2015,247,weld,girthweld,2309.567136,
2015,248,weld,girthweld,2321.789616,
2015,249,weld,girthweld,2334.0090480000003,
2015,250,weld,girthweld,2346.2376240000003,
2015,251,weld,girthweld,2358.460104,
2015,252,weld,girthweld,2370.667344,
2015,253,weld,girthweld,2373.989664,
2015,254,weld,girthweld,2386.212144,
2015,255,weld,girthweld,2398.431576,
2015,256,weld,girthweld,2410.6479600000002,
2015,257,weld,girthweld,2422.79424,
2015,258,weld,girthweld,2435.01672,
2015,259,weld,girthweld,2447.257488,
2015,260,weld,girthweld,2459.489112,
2015,261,weld,girthweld,2471.6902560000003,
2015,262,weld,girthweld,2483.90664,
2015,263,weld,girthweld,2496.116928,
2015,264,weld,girthweld,2508.333312,
2015,265,weld,girthweld,2520.5527440000005,
2015,266,weld,girthweld,2532.7630320000003,
2015,267,weld,girthweld,2544.9885600000002,
2015,269,weld,girthweld,2557.189704,
2015,270,weld,girthweld,2569.4182800000003,
2015,271,weld,girthweld,2577.0931440000004,
2015,272,weld,girthweld,2589.3095280000002,
2015,273,weld,girthweld,2601.5289600000006,
2015,274,weld,girthweld,2613.7453440000004,
2015,275,weld,girthweld,2625.952584,
2015,276,weld,girthweld,2638.162872,
2015,277,weld,girthweld,2649.995208,
2015,278,weld,girthweld,2662.187208,
2015,279,weld,girthweld,2674.4005440000005,
2015,280,weld,girthweld,2686.6108320000003,
2015,281,weld,girthweld,2698.793688,
2015,282,weld,girthweld,2710.9856879999998,
2015,283,weld,girthweld,2723.1929280000004,
2015,284,weld,girthweld,2734.729608,
2015,285,weld,girthweld,2746.997808,
2015,286,weld,girthweld,2759.244672,
2015,287,weld,girthweld,2771.461056,
2015,288,weld,girthweld,2783.6652480000002,
2015,289,weld,girthweld,2795.8663920000004,
2015,290,weld,girthweld,2808.070584,
2015,291,weld,girthweld,2820.256488,
2015,292,weld,girthweld,2832.424104,
2015,293,tee,tee,2840.056296,0.0
2015,294,weld,girthweld,2844.664872,
2015,295,weld,girthweld,2856.917832,
2015,296,weld,girthweld,2869.0671600000005,
2015,298,weld,girthweld,2872.416912,
2015,307,weld,girthweld,2884.803984,
2015,308,weld,girthweld,2889.97644,
2015,309,weld,girthweld,2896.2217920000003,
2015,310,weld,girthweld,2908.4412239999997,
2015,311,weld,girthweld,2920.666752,
2015,312,weld,girthweld,2932.8739920000003,
2015,313,weld,girthweld,2945.081232,
2015,314,weld,girthweld,2956.243008,
2015,315,weld,girthweld,2968.4746320000004,
2015,316,weld,girthweld,2980.7306399999998,
2015,318,weld,girthweld,2983.1355120000003,
2015,319,weld,girthweld,2987.7349440000003,
2015,321,tee,area start tee,2999.097888,
2015,322,tee,tee,2999.302104,0.0
2015,323,tee,area end tee,2999.5428960000004,
2015,324,weld,girthweld,2999.942184,
2015,326,weld,girthweld,3011.4544800000003,
2015,327,weld,girthweld,3023.670864,
2015,328,weld,girthweld,3035.878104,
2015,329,weld,girthweld,3048.0762,
2015,330,weld,girthweld,3060.289536,
2015,331,weld,girthweld,3072.58212,
2015,333,weld,girthweld,3084.8929920000005,
2015,334,weld,girthweld,3089.0047440000003,
2015,335,weld,girthweld,3101.21808,
2015,336,weld,girthweld,3113.4649440000003,
2015,337,weld,girthweld,3125.6996160000003,
2015,338,weld,girthweld,3137.9556239999997,
2015,339,weld,girthweld,3150.175056,
2015,340,weld,girthweld,3162.39144,
2015,341,weld,girthweld,3168.6520320000004,
2015,342,weld,girthweld,3180.859272,
2015,344,weld,girthweld,3193.078704,
2015,346,weld,girthweld,3205.285944,
2015,347,weld,girthweld,3217.511472,
2015,370,weld,girthweld,3229.7613840000004,
2015,373,tee,tap,3240.1733520000002,0.0
2015,374,tee,tap,3240.782952,0.0
2015,375,weld,girthweld,3241.971672,
2015,376,weld,girthweld,3254.191104,
2015,377,weld,girthweld,3266.4135840000004,
2015,378,weld,girthweld,3278.227632,
2015,381,weld,girthweld,3284.262672,
2015,382,weld,girthweld,3296.558304,
2015,383,weld,girthweld,3308.7624960000003,
2015,384,weld,girthweld,3320.96364,
2015,385,weld,girthweld,3333.161736,
2015,386,weld,girthweld,3345.368976,
2015,387,weld,girthweld,3357.5762160000004,
2015,388,weld,girthweld,3369.780408,
2015,390,weld,girthweld,3381.975456,
2015,391,weld,girthweld,3394.173552,
2015,392,weld,girthweld,3406.362504,
2015,393,weld,girthweld,3418.5636480000003,
2015,394,weld,girthweld,3430.776984,
2015,395,weld,girthweld,3442.99032,
2015,396,weld,girthweld,3455.200608,
2015,397,weld,girthweld,3467.4169920000004,
2015,398,weld,girthweld,3479.621184,
2015,399,weld,girthweld,3491.861952,
2015,400,weld,girthweld,3504.096624,
2015,401,weld,girthweld,3516.313008,
2015,402,weld,girthweld,3528.535488,
2015,404,weld,girthweld,3540.547656,
2015,405,weld,girthweld,3552.68784,
2015,406,weld,girthweld,3564.888984,
2015,407,weld,girthweld,3577.0870800000002,
2015,408,weld,girthweld,3589.291272,
2015,409,weld,girthweld,3601.489368,
2015,410,weld,girthweld,3613.681368,
2015,411,weld,girthweld,3625.882512,
2015,412,weld,girthweld,3638.0928000000004,
2015,413,weld,girthweld,3650.2969920000005,
2015,414,weld,girthweld,3662.5072800000003,
2015,415,weld,girthweld,3674.6962320000002,
2015,416,weld,girthweld,3686.8882320000002,
2015,417,weld,girthweld,3699.0863280000003,
2015,418,weld,girthweld,3711.26004,
2015,420,weld,girthweld,3723.4398480000004,
2015,421,weld,girthweld,3735.64404,
2015,422,weld,girthweld,3747.8512800000003,
2015,423,weld,girthweld,3760.0493760000004,
2015,424,weld,girthweld,3772.2291840000003,
2015,425,weld,girthweld,3782.443032,
2015,427,weld,girthweld,3794.6106480000003,
2015,428,weld,girthweld,3806.793504,
2015,429,weld,girthweld,3818.9916000000003,
2015,430,weld,girthweld,3831.1805520000003,
2015,431,weld,girthweld,3839.6509440000004,
2015,432,weld,girthweld,3851.8978079999997,
2015,434,weld,girthweld,3855.7687680000004,
2015,435,weld,girthweld,3864.580536,
2015,436,weld,girthweld,3876.7877760000006,
2015,437,weld,girthweld,3888.9950160000003,
2015,438,weld,girthweld,3901.1900640000003,
2015,439,weld,girthweld,3913.3820640000004,
