dst_id,src_id,years,depth_growth_per_year,length_growth_mm_per_year,width_growth_mm_per_year,depth_dst_pct,depth_src_pct,len_dst_mm,len_src_mm,wid_dst_mm,wid_src_mm,distance_aligned_dst_m,distance_src_m,dist_diff_m,score,category,risk_index
4106,544,7,0.5714285714285714,0.39914285714285774,-1.4514285714285704,23.0,19.0,45.72,42.925999999999995,27.94,38.099999999999994,4550.796185233128,4562.0909520000005,11.294766766872272,0.7392752886216739,matched,0.07655428571428571
3359,419,7,0.42857142857142855,-4.027714285714285,-2.2134285714285715,13.0,10.0,27.94,56.13399999999999,25.4,40.894,3728.357720855443,3717.313368,11.044352855442867,0.7022977257188191,matched,0.05142857142857143
1410,526,7,0.14285714285714285,0.03628571428571498,1.1974285714285722,15.0,14.0,48.26,48.00599999999999,63.5,55.117999999999995,4555.723992901085,4552.093512,3.630480901084411,0.7088040509304416,matched,0.041817142857142886
3363,570,7,0.14285714285714285,0.9797142857142863,-3.701142857142856,11.0,10.0,55.88,49.022,33.019999999999996,58.92799999999999,4563.557943552708,4564.154448,0.5965044472923182,0.751387988140554,matched,0.03673714285714287
3364,563,7,0.2857142857142857,-0.5079999999999997,-0.32657142857142774,15.0,13.0,25.4,28.955999999999996,50.8,53.08599999999999,4568.991167391738,4563.41988,5.5712873917373145,0.770687233622034,matched,0.03428571428571428
1809,559,7,0.2857142857142857,-0.6531428571428576,-0.29028571428571376,16.0,14.0,35.559999999999995,40.132,27.94,29.971999999999998,4565.326900151462,4562.907816,2.4190841514619024,0.7780771089294349,matched,0.03428571428571428
3094,590,7,0.0,-0.6894285714285705,1.524000000000001,17.0,17.0,43.18,48.00599999999999,45.72,35.05199999999999,4599.69519978439,4590.132552,9.56264778438981,0.7538409392416272,matched,0.03048000000000002
1767,299,7,,0.7620000000000005,,,16.0,58.419999999999995,53.08599999999999,,48.00599999999999,2893.789268372017,2881.009224,12.780044372017073,0.7445838816746211,matched,0.01524000000000001
2975,426,7,0.0,-1.7054285714285708,0.6168571428571425,16.0,16.0,43.18,55.117999999999995,48.26,43.942,3774.7296545513423,3787.798368,13.068713448657945,0.7434754308035788,matched,0.012337142857142852
1288,569,7,-0.2857142857142857,0.47171428571428564,-3.918857142857142,19.0,21.0,20.32,17.018,7.619999999999999,35.05199999999999,4561.157216740114,4564.123968,2.966751259886223,0.7444433299736367,matched,0.009434285714285714
1252,535,7,0.0,0.14514285714285688,-2.6125714285714285,13.0,13.0,33.019999999999996,32.004,17.779999999999998,36.068,4559.893676312433,4560.195096,0.30141968756743154,0.7734575474998202,matched,0.0029028571428571376
2836,615,7,0.0,-0.10885714285714292,-1.2699999999999991,14.0,14.0,48.26,49.022,43.18,52.06999999999999,4580.236677198101,4601.242512000001,21.005834801900164,0.731115107194933,matched,0.0
